ES048C1;Guadalajara;10869;10202;9765;9409;9020
ES050C1;Manresa;12914;12386;11773;11556;11567
ES053C1;Ciudad Real;14617;13466;12751;11930;11361
ES054C1;Benidorm;11506;10391;9447;8524;8034
ES055C1;Melilla;10703;14136;17944;22967;28345
ES056C1;Viladecans;15225;14235;13370;12637;12396
ES057C1;Ponferrada;8107;7589;6992;6622;6288
ES058C1;San Sebastián de los Reyes;16320;15015;13977;12914;12383
ES059C1;Zamora;10921;10132;9338;8811;8386
ES060C1;Fuengirola;16525;16228;15874;15500;15281
ES062C1;Sanlúcar de Barrameda;6384;6338;6189;6212;6193
ES063C1;Vilanova i la Geltrú;10221;9570;8966;8464;8280
ES065C1;Línea de la Concepción, La;8273;8228;8055;8008;7947
ES067C1;Majadahonda;9628;9228;8807;8578;8545
ES068C1;Torremolinos;8969;8596;8275;7828;7612
ES069C1;Castelldefels;8731;8261;7812;7524;7541
ES070C1;Irun;9152;9239;8813;8842;8930
ES071C1;Granollers;14636;13828;13074;12556;12470
ES073C1;Elda;14327;13345;12399;11680;11370
ES075C1;Mollet del Vallès;12549;12023;11439;11232;11265
ES501C1;Granada;15631;15574;15297;15114;14867
ES504C1;Móstoles;22837;21657;20496;19469;19044
ES505C1;Elche/Elx;19796;17965;16386;14812;13980
ES506C1;Cartagena;9136;8772;8467;8325;8272
ES508C1;Jerez de la Frontera;9473;9649;9531;9726;9729
ES509C1;Fuenlabrada;22056;20727;19545;18377;17837
ES510C1;San Sebastián/Donostia;12363;12404;11800;11823;11896
ES511C1;Alcalá de Henares;19732;18506;17422;16327;15869
ES512C1;Terrassa;13786;13057;12330;11852;11738
ES513C1;Leganés;24848;23456;22124;20823;19846
ES514C1;Almería;13793;13608;13287;13027;12715
ES515C1;Burgos;13440;12398;11398;10616;10056
ES516C1;Salamanca;18024;16304;14828;13481;12590
ES517C1;Alcorcón;26462;25027;23656;22330;21734
ES518C1;Getafe;17238;16264;15357;14488;13874
ES519C1;Albacete;19717;18094;17087;15847;14995
ES520C1;Castellón de la Plana/Castelló de la Plana;17704;16509;15216;14244;13722
ES521C1;Huelva;13701;13786;13626;13695;13633
ES522C1;Cádiz;15570;15225;14848;14379;14071
ES523C1;León;13571;12484;11444;10602;10000
ES525C1;Tarragona;11160;10451;9804;9347;9220
ES527C1;Jaén;17034;16844;16491;16175;15804
ES528C1;Lleida;13161;12542;11845;11435;11359
ES529C1;Ourense;9820;9558;8970;8626;8401
ES530C1;Mataró;17420;16349;15366;14598;14346
ES531C1;Dos Hermanas;8701;8481;8180;7742;7319
ES532C1;Algeciras;9440;9473;9307;9297;9251
ES533C1;Marbella;7754;7126;6741;6431;6313
ES534C1;Torrejón de Ardoz;12797;12182;11567;11010;10870
ES535C1;Alcobendas;20674;19303;18081;16908;16362
FI001K2;Helsinki / Helsingfors;3822;3829;3841;3633;3434
FI002C1;Tampere / Tammerfors;3068;2902;2813;2552;2383
FI003C1;Turku / Åbo;2810;2850;2877;2794;2691
FI004C2;Oulu / Uleåborg;1715;1687;1645;1566;1489
FI007C1;Lahti / Lahtis;2110;2120;2153;2101;2053
FI008C1;Kuopio;2106;2204;2199;2204;2143
FI009C1;Jyväskylä;1413;1393;1372;1323;1282
FR001K1;Paris;17452;17846;18217;18353;18280
